Read 218 positive samples into dataset
Read 60 negative samples into dataset
Loss for epoch 159 is 9.360390067100525
Loss for epoch 160 is 9.343126863241196
Loss for epoch 161 is 9.325187683105469
Loss for epoch 162 is 9.306611120700836
Loss for epoch 163 is 9.287356555461884
Loss for epoch 164 is 9.266139924526215
Loss for epoch 165 is 9.249470442533493
Loss for epoch 166 is 9.227908343076706
Loss for epoch 167 is 9.210686057806015
Loss for epoch 168 is 9.192613065242767
Loss for epoch 169 is 9.174419790506363
Loss for epoch 170 is 9.155917018651962
Loss for epoch 171 is 9.136248677968979
Loss for epoch 172 is 9.120325893163681
Loss for epoch 173 is 9.098264515399933
Loss for epoch 174 is 9.081085443496704
Loss for epoch 175 is 9.061524033546448
Loss for epoch 176 is 9.0402792096138
Loss for epoch 177 is 9.019261956214905
Loss for epoch 178 is 8.997751593589783
Loss for epoch 179 is 8.97474330663681
Loss for epoch 180 is 8.952424228191376
Loss for epoch 181 is 8.929132223129272
Loss for epoch 182 is 8.904320061206818
Loss for epoch 183 is 8.880582064390182
Loss for epoch 184 is 8.85517406463623
Loss for epoch 185 is 8.831088900566101
Loss for epoch 186 is 8.807902306318283
Loss for epoch 187 is 8.780345529317856
Loss for epoch 188 is 8.75539043545723
Loss for epoch 189 is 8.73257291316986
Loss for epoch 190 is 8.70571580529213
Loss for epoch 191 is 8.682763516902924
Loss for epoch 192 is 8.657835304737091
Loss for epoch 193 is 8.634605377912521
Loss for epoch 194 is 8.610309451818466
Loss for epoch 195 is 8.587140262126923
Loss for epoch 196 is 8.561403751373291
Loss for epoch 197 is 8.539348155260086
Loss for epoch 198 is 8.518378585577011
Loss for epoch 199 is 8.492197751998901
Loss for epoch 200 is 8.460311859846115
Loss for epoch 201 is 8.437069863080978
Loss for epoch 202 is 8.41364511847496
Loss for epoch 203 is 8.392189890146255
Loss for epoch 204 is 8.366941094398499
Loss for epoch 205 is 8.346529215574265
Loss for epoch 206 is 8.324288129806519
Loss for epoch 207 is 8.304733961820602
Loss for epoch 208 is 8.278391510248184
Loss for epoch 209 is 8.259559333324432
